"ID_Number";"Staff_Group";"Role";"Last_access";"Course_Title";"Enrolment_Date";"Completed";"Completion_Date"
76949;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-07";"Anaphylaxis v4.0";"2026-01-07";"No";""
65484;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Anaphylaxis v4.0";"2025-04-15";"Yes";"2025-04-15"
85935;"Additional Clinical Services";"Health Care Support Worker";"2026-04-03";"Anaphylaxis v4.0";"2025-07-21";"Yes";"2025-07-21"
3781;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-05-07";"No";""
95549;"Additional Clinical Services";"Healthcare Assistant";"2026-04-14";"Anaphylaxis v4.0";"2025-12-06";"Yes";"2025-12-06"
84686;"Additional Clinical Services";"Health Care Support Worker";"2026-01-22";"Anaphylaxis v4.0";"2025-08-21";"No";""
94080;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-07";"Anaphylaxis v4.0";"2025-08-31";"Yes";"2025-08-31"
87766;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-01-25";"Anaphylaxis v4.0";"2025-05-08";"No";""
47281;"Allied Health Professionals";"Radiographer - Diagnostic";"2025-10-24";"Anaphylaxis v4.0";"2025-04-03";"Yes";"2025-04-03"
64805;"Additional Clinical Services";"Health Care Support Worker";"2026-04-08";"Anaphylaxis v4.0";"2025-05-01";"No";""
47286;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-13";"Anaphylaxis v4.0";"2026-02-19";"Yes";"2026-02-19"
78889;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-03-11";"Anaphylaxis v4.0";"2025-06-04";"Yes";"2025-06-07"
59872;"Additional Clinical Services";"Health Care Support Worker";"2026-02-14";"Anaphylaxis v4.0";"2026-01-21";"Yes";"2026-01-22"
86068;"Additional Clinical Services";"Health Care Support Worker";"2026-04-15";"Anaphylaxis v4.0";"2026-01-21";"Yes";"2026-01-21"
32987;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-10";"Anaphylaxis v4.0";"2025-12-29";"Yes";"2025-12-29"
78571;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-04-11";"Anaphylaxis v4.0";"2025-06-12";"Yes";"2025-06-28"
54424;"Nursing and Midwifery Registered";"Staff Nurse";"2025-10-30";"Anaphylaxis v4.0";"2025-10-10";"Yes";"2025-10-10"
77352;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-02-24";"Anaphylaxis v4.0";"2026-02-24";"Yes";"2026-02-24"
84241;"Nursing and Midwifery Registered";"Staff Nurse";"2026-01-26";"Anaphylaxis v4.0";"2026-01-26";"No";""
89994;"Medical and Dental";"Specialty Registrar";"2025-05-16";"Anaphylaxis v4.0";"2025-05-15";"Yes";"2025-05-16"
95341;"Additional Clinical Services";"Phlebotomist";"2026-02-14";"Anaphylaxis v4.0";"2025-11-24";"No";""
86816;"Add Prof Scientific and Technic";"Technician";"2025-11-18";"Anaphylaxis v4.0";"2025-11-18";"Yes";"2025-11-18"
73154;"Allied Health Professionals";"Operating Department Practitioner";"2025-10-20";"Anaphylaxis v4.0";"2025-09-21";"Yes";"2025-09-21"
79372;"Allied Health Professionals";"Radiographer - Diagnostic";"2026-02-23";"Anaphylaxis v4.0";"2025-05-13";"Yes";"2025-05-13"
82636;"Nursing and Midwifery Registered";"Staff Nurse";"2025-11-14";"Anaphylaxis v4.0";"2025-11-14";"No";""
77465;"Nursing and Midwifery Registered";"Staff Nurse";"2025-11-10";"Anaphylaxis v4.0";"2025-05-05";"Yes";"2025-05-05"
31604;"Nursing and Midwifery Registered";"Sister or Charge Nurse";"2026-04-03";"Anaphylaxis v4.0";"2026-03-26";"Yes";"2026-04-03"
93280;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-06";"Anaphylaxis v4.0";"2025-08-22";"Yes";"2025-08-24"
80498;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-15";"Anaphylaxis v4.0";"2025-11-12";"No";""
75944;"Additional Clinical Services";"Nursing Associate";"2025-09-19";"Anaphylaxis v4.0";"2025-06-22";"Yes";"2025-06-22"
29980;"Additional Clinical Services";"Healthcare Assistant";"2026-03-20";"Anaphylaxis v4.0";"2026-03-20";"Yes";"2026-03-20"
77236;"Nursing and Midwifery Registered";"Staff Nurse";"2026-04-09";"Anaphylaxis v4.0";"2025-04-15";"Yes";"2025-04-15"
91377;"Additional Clinical Services";"Healthcare Assistant";"2026-03-27";"Anaphylaxis v4.0";"2025-03-28";"No";""
54441;"Nursing and Midwifery Registered";"Staff Nurse";"2026-03-17";"Anaphylaxis v4.0";"2025-10-17";"Yes";"2025-10-17"
20508;"Nursing and Midwifery Registered";"Staff Nurse";"2025-12-08";"Anaphylaxis v4.0";"2025-03-05";"Yes";"2025-03-05"
88751;"Medical and Dental";"Specialty Registrar";"2026-04-07";"Anaphylaxis v4.0";"2025-05-29";"Yes";"2025-05-29"
94081;"Additional Clinical Services";"Health Care Support Worker";"2025-09-30";"Anaphylaxis v4.0";"2025-08-18";"Yes";"2025-08-18"
